category,authorLocation,requiredFunding,targetAudience,success
infrastructure,urban,50453,parents developers patients seniors smes commuters patients commuters seniors youth parents tourists tourists developers commuters tourists developers parents seniors youth,1
education,inland,177682,commuters smes youth tourists tourists farmers seniors patients seniors commuters patients seniors tourists tourists commuters patients commuters commuters seniors tourists,1
education,urban,190510,patients commuters patients,1
other,coastal,111639,patients seniors commuters developers commuters farmers teachers teachers smes patients commuters youth seniors teachers parents youth tourists seniors teachers tourists youth patients seniors developers farmers patients seniors tourists patients developers,1
other,coastal,76775,parents seniors smes commuters parents smes farmers commuters seniors developers tourists tourists parents commuters commuters parents tourists commuters developers smes parents patients parents farmers patients patients developers commuters patients youth,1
technology,coastal,56397,tourists smes smes,1
technology,urban,273356,patients patients youth commuters patients developers tourists tourists farmers teachers developers parents parents developers farmers youth patients farmers teachers teachers,1
education,unknown,67517,developers farmers tourists teachers tourists youth patients commuters seniors tourists commuters smes parents youth parents tourists smes seniors developers farmers teachers seniors farmers seniors teachers smes farmers developers farmers youth,1
infrastructure,inland,196038,tourists tourists tourists youth tourists teachers developers tourists developers seniors,0
education,suburban,285153,commuters smes teachers,0
infrastructure,inland,182125,parents teachers smes farmers patients smes patients developers developers parents seniors commuters parents smes seniors parents youth farmers developers farmers youth teachers teachers seniors farmers farmers developers teachers commuters developers,1
healthcare,unknown,133504,patients developers youth farmers developers smes smes commuters parents developers tourists parents smes seniors patients youth commuters tourists patients parents smes youth patients teachers teachers farmers seniors farmers patients commuters,1
infrastructure,rural,122199,youth tourists commuters,1
agriculture,urban,79433,commuters farmers patients parents smes smes youth teachers patients parents,1
technology,urban,269392,patients seniors seniors smes teachers smes developers smes smes parents seniors smes patients tourists farmers seniors parents teachers youth tourists,1
technology,inland,160748,smes teachers seniors,1
healthcare,rural,289604,parents youth seniors,0
education,suburban,99232,farmers teachers patients,1
other,rural,201192,smes teachers seniors,0
agriculture,coastal,5599,teachers seniors youth youth farmers youth patients developers parents farmers,1
healthcare,coastal,260464,tourists teachers commuters seniors parents developers teachers commuters tourists developers tourists parents tourists commuters developers developers patients farmers youth seniors,1
education,coastal,221381,parents developers tourists,0
education,unknown,296353,youth tourists farmers seniors commuters seniors smes seniors commuters smes farmers teachers tourists commuters tourists commuters parents youth tourists youth,0
other,urban,173140,developers seniors youth seniors youth teachers developers tourists tourists youth patients developers seniors farmers teachers patients tourists smes parents parents,1
